iteration,eps,f,Fidelity Grape,Fidelity Ideal
100,4.0000000e-01,-5.0000000e-01,9.9608698e-01,9.8285212e-01
101,4.0000000e-01,-4.0000000e-01,8.0326546e-01,8.6982833e-01
102,4.0000000e-01,-3.0000000e-01,9.9525345e-01,6.9028435e-01
103,4.0000000e-01,-2.0000000e-01,9.5090798e-01,5.0176584e-01
104,4.0000000e-01,-1.0000000e-01,9.9147569e-01,3.6095684e-01
105,4.0000000e-01,0.0000000e+00,9.8960232e-01,3.0901699e-01
106,4.0000000e-01,1.0000000e-01,9.8093039e-01,3.6095684e-01
107,4.0000000e-01,2.0000000e-01,9.9960086e-01,5.0176584e-01
108,4.0000000e-01,3.0000000e-01,9.5845895e-01,6.9028435e-01
109,4.0000000e-01,4.0000000e-01,9.6017684e-01,8.6982833e-01
110,4.0000000e-01,5.0000000e-01,9.1094214e-01,9.8285212e-01
111,5.0000000e-01,-5.0000000e-01,8.8493759e-01,9.4439935e-01
112,5.0000000e-01,-4.0000000e-01,6.4787910e-01,7.6265289e-01
113,5.0000000e-01,-3.0000000e-01,9.9487383e-01,5.0890789e-01
114,5.0000000e-01,-2.0000000e-01,7.9732555e-01,2.5436063e-01
115,5.0000000e-01,-1.0000000e-01,9.9382881e-01,6.8118312e-02
116,5.0000000e-01,0.0000000e+00,8.9648624e-01,1.5700925e-16
117,5.0000000e-01,1.0000000e-01,9.5520851e-01,6.8118312e-02
118,5.0000000e-01,2.0000000e-01,9.6237484e-01,2.5436063e-01
119,5.0000000e-01,3.0000000e-01,8.6518133e-01,5.0890789e-01
120,5.0000000e-01,4.0000000e-01,9.9848039e-01,7.6265289e-01
121,5.0000000e-01,5.0000000e-01,6.8971527e-01,9.4439935e-01
